species.name	database	reviewed	isoforms	whole.proteome..Uniprot.	uncovered.whole.proteome	whole.proteome..interactome.available	interactome..but.not.in.Uniprot	reference.proteome..Uniprot.	uncovered.reference.proteome	reference.proteome..interactome.available	interactome..but.not.in.Uniprot.1	Overlap.between.interactome.and.the.reference.proteome..fraction	Overlap.between.interactome.and.the.whole.proteome..fraction
Homo sapiens	IMEx	1	TRUE	178750	158383	20367	134	92992	74153	18839	1662	0.202587319339298	0.113855906621051
Homo sapiens	X0469.IntAct.	1	TRUE	178750	159497	19253	110	92992	75067	17925	1438	0.192758516861666	0.107628407235974
Mus musculus	IMEx	1	TRUE	89074	80455	8619	22	58447	50603	7844	797	0.134207059387137	0.0967383496453264
Mus musculus	X0469.IntAct.	1	TRUE	89074	83931	5143	11	58447	53656	4791	363	0.0819717008571868	0.0577242524916944
strain ATCC 204508	IMEx	1	TRUE	6762	792	5970	52	6754	784	5970	52	0.883920639620965	0.876137364250073
strain ATCC 204508	X0469.IntAct.	1	TRUE	6762	1282	5480	45	6754	1274	5480	45	0.811371039384069	0.80422659230995
strain K12	IMEx	1	TRUE	4493	1312	3181	10	4315	1138	3177	14	0.736268829663963	0.70641794359316
strain K12	X0469.IntAct.	1	TRUE	4493	1344	3149	9	4315	1169	3146	12	0.729084588644264	0.699311570064401
Drosophila melanogaster	IMEx	1	TRUE	43865	33488	10377	8	23314	13702	9612	773	0.412284464270396	0.236523602215486
Drosophila melanogaster	X0469.IntAct.	1	TRUE	43865	33550	10315	8	23314	13736	9578	745	0.410826113065111	0.235110432384382
Caenorhabditis elegans	IMEx	1	TRUE	28795	23743	5052	2	28017	22989	5028	26	0.179462469215119	0.175434941139702
Caenorhabditis elegans	X0469.IntAct.	1	TRUE	28795	23989	4806	2	28017	23233	4784	24	0.170753471106828	0.166892384623398
Arabidopsis thaliana	IMEx	1	TRUE	79145	73665	5480	27	33472	28250	5222	285	0.156010994263862	0.0692163896326984
Arabidopsis thaliana	X0469.IntAct.	1	TRUE	79145	73937	5208	26	33472	28515	4957	277	0.148093929254302	0.0657808316071338
Homo sapiens	IMEx	1	FALSE	156710	138967	17743	116	70952	54737	16215	1644	0.228534784079378	0.113138127606392
Homo sapiens	X0469.IntAct.	1	FALSE	156710	139879	16831	95	70952	55449	15503	1423	0.218499830871575	0.107322765357785
Mus musculus	IMEx	1	FALSE	80930	72454	8476	17	50305	42604	7701	792	0.153086174336547	0.104710489579601
Mus musculus	X0469.IntAct.	1	FALSE	80930	75865	5065	8	50305	45592	4713	360	0.0936885001490906	0.0625718062435915
strain ATCC 204508	IMEx	1	FALSE	6732	762	5970	52	6724	754	5970	52	0.887864366448543	0.88001179245283
strain ATCC 204508	X0469.IntAct.	1	FALSE	6732	1252	5480	45	6724	1244	5480	45	0.814991076740036	0.807783018867924
strain K12	IMEx	1	FALSE	4482	1304	3178	10	4306	1132	3174	14	0.737111007895959	0.707479964381122
strain K12	X0469.IntAct.	1	FALSE	4482	1335	3147	9	4306	1162	3144	12	0.730143985137018	0.700578806767587
Drosophila melanogaster	IMEx	1	FALSE	42553	32390	10163	8	22005	12607	9398	773	0.427084753465122	0.238786682643735
Drosophila melanogaster	X0469.IntAct.	1	FALSE	42553	32450	10103	8	22005	12639	9366	745	0.425630538513974	0.237376941331266
Caenorhabditis elegans	IMEx	1	FALSE	27503	22497	5006	2	26725	21743	4982	26	0.186417212347989	0.18200327213234
Caenorhabditis elegans	X0469.IntAct.	1	FALSE	27503	22742	4761	2	26725	21986	4739	24	0.17732460243218	0.173095800763498
Arabidopsis thaliana	IMEx	1	FALSE	77060	71594	5466	27	31387	26179	5208	285	0.165928569152834	0.0709068974016371
Arabidopsis thaliana	X0469.IntAct.	1	FALSE	77060	71864	5196	26	31387	26442	4945	277	0.157549303851913	0.0674043613060568
Homo sapiens	IMEx	2	TRUE	42211	24377	17834	2667	42205	24371	17834	2667	0.422556569126881	0.397388475422256
Homo sapiens	X0469.IntAct.	2	TRUE	42211	25230	16981	2382	42205	25224	16981	2382	0.402345693638195	0.378381389544989
Mus musculus	IMEx	2	TRUE	24988	17566	7422	1219	24982	17561	7421	1220	0.297053878792731	0.283206776815355
Mus musculus	X0469.IntAct.	2	TRUE	24988	20440	4548	606	24982	20435	4547	607	0.182011047954527	0.173541420231236
strain ATCC 204508	IMEx	2	TRUE	6751	781	5970	52	6751	781	5970	52	0.88431343504666	0.877554020285168
strain ATCC 204508	X0469.IntAct.	2	TRUE	6751	1271	5480	45	6751	1271	5480	45	0.811731595319212	0.805526973394091
strain K12	IMEx	2	TRUE	4445	1264	3181	10	4315	1138	3177	14	0.736268829663963	0.714029180695847
strain K12	X0469.IntAct.	2	TRUE	4445	1296	3149	9	4315	1169	3146	12	0.729084588644264	0.706846240179574
Drosophila melanogaster	IMEx	2	TRUE	4726	1803	2923	7462	4696	1774	2922	7463	0.622231686541738	0.239826058418116
Drosophila melanogaster	X0469.IntAct.	2	TRUE	4726	1816	2910	7413	4696	1787	2909	7414	0.619463373083475	0.238759435510338
Caenorhabditis elegans	IMEx	2	TRUE	5132	3461	1671	3383	5131	3460	1671	3383	0.325667511206393	0.196241926012918
Caenorhabditis elegans	X0469.IntAct.	2	TRUE	5132	3560	1572	3236	5131	3559	1572	3236	0.306373026700448	0.184615384615385
Arabidopsis thaliana	IMEx	2	TRUE	17198	13191	4007	1500	17125	13119	4006	1501	0.23392700729927	0.214300994758798
Arabidopsis thaliana	X0469.IntAct.	2	TRUE	17198	13427	3771	1463	17125	13355	3770	1464	0.22014598540146	0.201679323991871
Homo sapiens	IMEx	2	FALSE	20171	4961	15210	2649	20165	4955	15210	2649	0.754277212992809	0.666520595968449
Homo sapiens	X0469.IntAct.	2	FALSE	20171	5612	14559	2367	20165	5606	14559	2367	0.721993553186214	0.637992988606486
Mus musculus	IMEx	2	FALSE	16844	9565	7279	1214	16840	9562	7278	1215	0.432185273159145	0.403090043194152
Mus musculus	X0469.IntAct.	2	FALSE	16844	12374	4470	603	16840	12371	4469	604	0.265380047505938	0.247535718241223
strain ATCC 204508	IMEx	2	FALSE	6721	751	5970	52	6721	751	5970	52	0.888260675494718	0.881441015798022
strain ATCC 204508	X0469.IntAct.	2	FALSE	6721	1241	5480	45	6721	1241	5480	45	0.815354857908049	0.809094935774398
strain K12	IMEx	2	FALSE	4434	1256	3178	10	4306	1132	3174	14	0.737111007895959	0.715121512151215
strain K12	X0469.IntAct.	2	FALSE	4434	1287	3147	9	4306	1162	3144	12	0.730143985137018	0.708145814581458
Drosophila melanogaster	IMEx	2	FALSE	3414	705	2709	7462	3387	679	2708	7463	0.799527605550635	0.249080544317764
Drosophila melanogaster	X0469.IntAct.	2	FALSE	3414	716	2698	7413	3387	690	2697	7414	0.796279893711249	0.248069143067304
Caenorhabditis elegans	IMEx	2	FALSE	3840	2215	1625	3383	3839	2214	1625	3383	0.423287314404793	0.224975771839956
Caenorhabditis elegans	X0469.IntAct.	2	FALSE	3840	2313	1527	3236	3839	2312	1527	3236	0.397759833289919	0.211408002215146
Arabidopsis thaliana	IMEx	2	FALSE	15113	11120	3993	1500	15040	11048	3992	1501	0.265425531914894	0.240353939685788
Arabidopsis thaliana	X0469.IntAct.	2	FALSE	15113	11354	3759	1463	15040	11282	3758	1464	0.249867021276596	0.226268584843195
