species.name	database	reviewed	isoforms	whole.proteome..Uniprot.	uncovered.whole.proteome	whole.proteome..interactome.available	interactome..but.not.in.Uniprot	reference.proteome..Uniprot.	uncovered.reference.proteome	reference.proteome..interactome.available	interactome..but.not.in.Uniprot.1	Overlap.between.interactome.and.the.reference.proteome..fraction	Overlap.between.interactome.and.the.whole.proteome..fraction	revieweddatabaseisoforms
Homo sapiens	IMEx	1	TRUE	178029	158401	19628	146	92941	74809	18132	1642	0.195091509667423	0.110161358215238	1.IMEx.TRUE
Homo sapiens	X0469.IntAct.	1	TRUE	178029	159561	18468	120	92941	75770	17171	1417	0.184751616616994	0.10365090500912	1.X0469.IntAct..TRUE
Mus musculus	IMEx	1	TRUE	88629	80062	8567	36	58004	50215	7789	814	0.134283842493621	0.0966221169570857	1.IMEx.TRUE
Mus musculus	X0469.IntAct.	1	TRUE	88629	83575	5054	18	58004	53303	4701	371	0.0810461347493276	0.0570010714487114	1.X0469.IntAct..TRUE
strain ATCC 204508	IMEx	1	TRUE	6759	789	5970	52	6751	781	5970	52	0.88431343504666	0.876523271178975	1.IMEx.TRUE
strain ATCC 204508	X0469.IntAct.	1	TRUE	6759	1279	5480	45	6751	1271	5480	45	0.811731595319212	0.80458082513581	1.X0469.IntAct..TRUE
strain K12	IMEx	1	TRUE	4493	1312	3181	10	4315	1138	3177	14	0.736268829663963	0.70641794359316	1.IMEx.TRUE
strain K12	X0469.IntAct.	1	TRUE	4493	1344	3149	9	4315	1169	3146	12	0.729084588644264	0.699311570064401	1.X0469.IntAct..TRUE
Drosophila melanogaster	IMEx	1	TRUE	43878	33499	10379	9	23316	13704	9612	776	0.412249099330931	0.23649372251464	1.IMEx.TRUE
Drosophila melanogaster	X0469.IntAct.	1	TRUE	43878	33562	10316	9	23316	13739	9577	748	0.410747984216847	0.235058217695445	1.X0469.IntAct..TRUE
Caenorhabditis elegans	IMEx	1	TRUE	28764	23712	5052	6	27983	22955	5028	30	0.179680520315906	0.175599582898853	1.IMEx.TRUE
Caenorhabditis elegans	X0469.IntAct.	1	TRUE	28764	23958	4806	6	27983	23199	4784	28	0.170960940571061	0.167049009384776	1.X0469.IntAct..TRUE
Arabidopsis thaliana	IMEx	1	TRUE	79227	73752	5475	32	33466	28255	5211	296	0.15571027311301	0.0690773287576174	1.IMEx.TRUE
Arabidopsis thaliana	X0469.IntAct.	1	TRUE	79227	74021	5206	30	33466	28517	4949	287	0.147881431901034	0.0656833924223117	1.X0469.IntAct..TRUE
Homo sapiens	IMEx	1	FALSE	155990	138797	17193	129	70902	55205	15697	1625	0.221390087726721	0.110127530921925	1.IMEx.FALSE
Homo sapiens	X0469.IntAct.	1	FALSE	155990	139770	16220	106	70902	55979	14923	1403	0.21047361146371	0.103895105656582	1.X0469.IntAct..FALSE
Mus musculus	IMEx	1	FALSE	80493	72067	8426	31	49870	42222	7648	809	0.153358732705033	0.104639610550892	1.IMEx.FALSE
Mus musculus	X0469.IntAct.	1	FALSE	80493	75517	4976	15	49870	45247	4623	368	0.0927010226589132	0.0617952411703343	1.X0469.IntAct..FALSE
strain ATCC 204508	IMEx	1	FALSE	6729	759	5970	52	6721	751	5970	52	0.888260675494718	0.880401120778646	1.IMEx.FALSE
strain ATCC 204508	X0469.IntAct.	1	FALSE	6729	1249	5480	45	6721	1241	5480	45	0.815354857908049	0.808140392272526	1.X0469.IntAct..FALSE
strain K12	IMEx	1	FALSE	4482	1304	3178	10	4306	1132	3174	14	0.737111007895959	0.707479964381122	1.IMEx.FALSE
strain K12	X0469.IntAct.	1	FALSE	4482	1335	3147	9	4306	1162	3144	12	0.730143985137018	0.700578806767587	1.X0469.IntAct..FALSE
Drosophila melanogaster	IMEx	1	FALSE	42568	32405	10163	9	22009	12613	9396	776	0.426916261529374	0.238696949057003	1.IMEx.FALSE
Drosophila melanogaster	X0469.IntAct.	1	FALSE	42568	32466	10102	9	22009	12646	9363	748	0.425416874914808	0.23726425065176	1.X0469.IntAct..FALSE
Caenorhabditis elegans	IMEx	1	FALSE	27499	22492	5007	6	26718	21735	4983	30	0.186503480799461	0.182039629158335	1.IMEx.FALSE
