species.name	database	reviewed	isoforms	whole.proteome..Uniprot.	uncovered.whole.proteome	whole.proteome..interactome.available	interactome..but.not.in.Uniprot	reference.proteome..Uniprot.	uncovered.reference.proteome	reference.proteome..interactome.available	interactome..but.not.in.Uniprot.1	Overlap.between.interactome.and.the.reference.proteome..fraction	Overlap.between.interactome.and.the.whole.proteome..fraction
Homo sapiens	IMEx	1	TRUE	178750	158435	20315	133	92992	74190	18802	1646	0.202189435650379	0.113565850304389
Homo sapiens	X0469.IntAct.	1	TRUE	178750	159497	19253	110	92992	75067	17925	1438	0.192758516861666	0.107629008905262
Mus musculus	IMEx	1	TRUE	89074	80460	8614	20	58447	50608	7839	795	0.134121511797013	0.0966844007452803
Mus musculus	X0469.IntAct.	1	TRUE	89074	83931	5143	11	58447	53656	4791	363	0.0819717008571869	0.057725548297304
strain ATCC 204508	IMEx	1	TRUE	6762	792	5970	52	6754	784	5970	52	0.883920639620965	0.876137364250073
strain ATCC 204508	X0469.IntAct.	1	TRUE	6762	1282	5480	45	6754	1274	5480	45	0.811371039384069	0.80422659230995
strain K12	IMEx	1	TRUE	4493	1312	3181	10	4315	1138	3177	14	0.736268829663963	0.70641794359316
strain K12	X0469.IntAct.	1	TRUE	4493	1344	3149	9	4315	1169	3146	12	0.729084588644264	0.699311570064401
Drosophila melanogaster	IMEx	1	TRUE	43865	33488	10377	8	23314	13702	9612	773	0.412284464270396	0.236523602215486
Drosophila melanogaster	X0469.IntAct.	1	TRUE	43865	33550	10315	8	23314	13736	9578	745	0.410826113065111	0.235110432384382
Caenorhabditis elegans	IMEx	1	TRUE	28795	23744	5051	2	28017	22990	5027	26	0.179426776599921	0.175400215300205
Caenorhabditis elegans	X0469.IntAct.	1	TRUE	28795	23989	4806	2	28017	23233	4784	24	0.170753471106828	0.166892384623398
Arabidopsis thaliana	IMEx	1	TRUE	79145	74174	4971	21	33472	28728	4744	248	0.141730401529637	0.0627921077230124
Arabidopsis thaliana	X0469.IntAct.	1	TRUE	79145	74475	4670	20	33472	29022	4450	240	0.132946940726577	0.0589899704418564
Homo sapiens	IMEx	1	FALSE	156710	139008	17702	116	70952	54763	16189	1629	0.228168339158868	0.112876691364952
Homo sapiens	X0469.IntAct.	1	FALSE	156710	139879	16831	95	70952	55449	15503	1423	0.218499830871575	0.107322765357785
Mus musculus	IMEx	1	FALSE	80930	72459	8471	15	50305	42609	7696	790	0.152986780638108	0.104651306442646
Mus musculus	X0469.IntAct.	1	FALSE	80930	75865	5065	8	50305	45592	4713	360	0.0936885001490905	0.0625733522762369
strain ATCC 204508	IMEx	1	FALSE	6732	762	5970	52	6724	754	5970	52	0.887864366448543	0.88001179245283
strain ATCC 204508	X0469.IntAct.	1	FALSE	6732	1252	5480	45	6724	1244	5480	45	0.814991076740036	0.807783018867924
strain K12	IMEx	1	FALSE	4482	1304	3178	10	4306	1132	3174	14	0.737111007895959	0.707479964381122
strain K12	X0469.IntAct.	1	FALSE	4482	1335	3147	9	4306	1162	3144	12	0.730143985137018	0.700578806767587
Drosophila melanogaster	IMEx	1	FALSE	42553	32390	10163	8	22005	12607	9398	773	0.427084753465122	0.238786682643735
Drosophila melanogaster	X0469.IntAct.	1	FALSE	42553	32450	10103	8	22005	12639	9366	745	0.425630538513974	0.237376941331266
Caenorhabditis elegans	IMEx	1	FALSE	27503	22498	5005	2	26725	21744	4981	26	0.186379794200187	0.181966915106344
Caenorhabditis elegans	X0469.IntAct.	1	FALSE	27503	22742	4761	2	26725	21986	4739	24	0.17732460243218	0.173095800763498
Arabidopsis thaliana	IMEx	1	FALSE	77060	72095	4965	21	31387	26649	4738	248	0.150954216713926	0.0644127606024831
Arabidopsis thaliana	X0469.IntAct.	1	FALSE	77060	72394	4666	20	31387	26941	4446	240	0.1416510020072	0.0605337242640858
Homo sapiens	IMEx	2	TRUE	42211	24413	17798	2650	42205	24407	17798	2650	0.421703589622083	0.396736586344486
Homo sapiens	X0469.IntAct.	2	TRUE	42211	25230	16981	2382	42205	25224	16981	2382	0.402345693638195	0.378524776531954
Mus musculus	IMEx	2	TRUE	24988	17571	7417	1217	24982	17566	7416	1218	0.296853734688976	0.283037588246518
Mus musculus	X0469.IntAct.	2	TRUE	24988	20440	4548	606	24982	20435	4547	607	0.182011047954527	0.17355466514024
strain ATCC 204508	IMEx	2	TRUE	6751	781	5970	52	6751	781	5970	52	0.88431343504666	0.877554020285168
strain ATCC 204508	X0469.IntAct.	2	TRUE	6751	1271	5480	45	6751	1271	5480	45	0.811731595319212	0.805526973394091
strain K12	IMEx	2	TRUE	4445	1264	3181	10	4315	1138	3177	14	0.736268829663963	0.714029180695847
strain K12	X0469.IntAct.	2	TRUE	4445	1296	3149	9	4315	1169	3146	12	0.729084588644264	0.706846240179574
Drosophila melanogaster	IMEx	2	TRUE	4726	1803	2923	7462	4696	1774	2922	7463	0.622231686541738	0.239826058418116
Drosophila melanogaster	X0469.IntAct.	2	TRUE	4726	1816	2910	7413	4696	1787	2909	7414	0.619463373083475	0.238759435510338
Caenorhabditis elegans	IMEx	2	TRUE	5132	3461	1671	3382	5131	3460	1671	3382	0.325667511206393	0.196264975334743
Caenorhabditis elegans	X0469.IntAct.	2	TRUE	5132	3560	1572	3236	5131	3559	1572	3236	0.306373026700448	0.184637068357999
Arabidopsis thaliana	IMEx	2	TRUE	17198	13615	3583	1409	17125	13543	3582	1410	0.209167883211679	0.192561939055194
Arabidopsis thaliana	X0469.IntAct.	2	TRUE	17198	13880	3318	1372	17125	13808	3317	1373	0.193693430656934	0.178319987101628
Homo sapiens	IMEx	2	FALSE	20171	4986	15185	2633	20165	4980	15185	2633	0.753037441110836	0.665891948780916
Homo sapiens	X0469.IntAct.	2	FALSE	20171	5612	14559	2367	20165	5606	14559	2367	0.721993553186214	0.638440624451851
Mus musculus	IMEx	2	FALSE	16844	9570	7274	1212	16840	9567	7273	1213	0.431888361045131	0.402857775808595
Mus musculus	X0469.IntAct.	2	FALSE	16844	12374	4470	603	16840	12371	4469	604	0.265380047505938	0.247563136907399
strain ATCC 204508	IMEx	2	FALSE	6721	751	5970	52	6721	751	5970	52	0.888260675494718	0.881441015798022
strain ATCC 204508	X0469.IntAct.	2	FALSE	6721	1241	5480	45	6721	1241	5480	45	0.815354857908049	0.809094935774398
strain K12	IMEx	2	FALSE	4434	1256	3178	10	4306	1132	3174	14	0.737111007895959	0.715121512151215
strain K12	X0469.IntAct.	2	FALSE	4434	1287	3147	9	4306	1162	3144	12	0.730143985137018	0.708145814581458
Drosophila melanogaster	IMEx	2	FALSE	3414	705	2709	7462	3387	679	2708	7463	0.799527605550635	0.249080544317764
Drosophila melanogaster	X0469.IntAct.	2	FALSE	3414	716	2698	7413	3387	690	2697	7414	0.796279893711249	0.248069143067304
Caenorhabditis elegans	IMEx	2	FALSE	3840	2215	1625	3382	3839	2214	1625	3382	0.423287314404793	0.225006923289947
Caenorhabditis elegans	X0469.IntAct.	2	FALSE	3840	2313	1527	3236	3839	2312	1527	3236	0.397759833289919	0.211437274993077
