species.name	database	reviewed	isoforms	whole.proteome..Uniprot.	uncovered.whole.proteome	whole.proteome..interactome.available	interactome..but.not.in.Uniprot	reference.proteome..Uniprot.	uncovered.reference.proteome	reference.proteome..interactome.available	interactome..but.not.in.Uniprot.1	Overlap.between.interactome.and.the.reference.proteome..fraction	Overlap.between.interactome.and.the.whole.proteome..fraction
Homo sapiens	IMEx	2	TRUE	42159	24960	17199	2575	42153	24954	17199	2575	0.408013664507864	0.384472660616086
Homo sapiens	X0469.IntAct.	2	TRUE	42159	25860	16299	2289	42153	25854	16299	2289	0.386662870970038	0.364353735413779
Mus musculus	IMEx	2	TRUE	24967	17598	7369	1234	24961	17593	7368	1235	0.29518048155122	0.281248807297431
Mus musculus	X0469.IntAct.	2	TRUE	24967	20510	4457	615	24961	20505	4456	616	0.178518488842594	0.170108011144613
strain ATCC 204508	IMEx	2	TRUE	6751	781	5970	52	6751	781	5970	52	0.88431343504666	0.877554020285168
strain ATCC 204508	X0469.IntAct.	2	TRUE	6751	1271	5480	45	6751	1271	5480	45	0.811731595319212	0.805526973394091
strain K12	IMEx	2	TRUE	4445	1264	3181	10	4315	1138	3177	14	0.736268829663963	0.714029180695847
strain K12	X0469.IntAct.	2	TRUE	4445	1296	3149	9	4315	1169	3146	12	0.729084588644264	0.706846240179574
Drosophila melanogaster	IMEx	2	TRUE	4695	1794	2901	7487	4665	1765	2900	7488	0.621650589496249	0.238138236742735
Drosophila melanogaster	X0469.IntAct.	2	TRUE	4695	1807	2888	7437	4665	1778	2887	7438	0.618863879957128	0.237071088491217
Caenorhabditis elegans	IMEx	2	TRUE	5067	3411	1656	3402	5066	3410	1656	3402	0.326885116462692	0.195536663124336
Caenorhabditis elegans	X0469.IntAct.	2	TRUE	5067	3509	1558	3254	5066	3508	1558	3254	0.30754046585077	0.183965049002243
Arabidopsis thaliana	IMEx	2	TRUE	17044	13064	3980	1527	16972	12993	3979	1528	0.234444968182889	0.214312637983953
Arabidopsis thaliana	X0469.IntAct.	2	TRUE	17044	13299	3745	1491	16972	13228	3744	1492	0.220598633042658	0.201658499811534
Homo sapiens	IMEx	2	FALSE	20120	5356	14764	2558	20114	5350	14764	2558	0.734016108183355	0.651027427462739
Homo sapiens	X0469.IntAct.	2	FALSE	20120	6069	14051	2275	20114	6063	14051	2275	0.698568161479567	0.619587265190934
Mus musculus	IMEx	2	FALSE	16831	9603	7228	1229	16827	9600	7227	1230	0.429488322339098	0.400221483942414
Mus musculus	X0469.IntAct.	2	FALSE	16831	12452	4379	612	16827	12449	4378	613	0.260177096333274	0.242469545957918
strain ATCC 204508	IMEx	2	FALSE	6721	751	5970	52	6721	751	5970	52	0.888260675494718	0.881441015798022
strain ATCC 204508	X0469.IntAct.	2	FALSE	6721	1241	5480	45	6721	1241	5480	45	0.815354857908049	0.809094935774398
strain K12	IMEx	2	FALSE	4434	1256	3178	10	4306	1132	3174	14	0.737111007895959	0.715121512151215
strain K12	X0469.IntAct.	2	FALSE	4434	1287	3147	9	4306	1162	3144	12	0.730143985137018	0.708145814581458
Drosophila melanogaster	IMEx	2	FALSE	3385	700	2685	7487	3358	674	2684	7488	0.799285288862418	0.2469646799117
Drosophila melanogaster	X0469.IntAct.	2	FALSE	3385	711	2674	7437	3358	685	2673	7438	0.796009529481834	0.245952906548933
Caenorhabditis elegans	IMEx	2	FALSE	3802	2191	1611	3402	3801	2190	1611	3402	0.423835832675612	0.223625763464742
Caenorhabditis elegans	X0469.IntAct.	2	FALSE	3802	2288	1514	3254	3801	2287	1514	3254	0.398316232570376	0.210161021654636
Arabidopsis thaliana	IMEx	2	FALSE	14986	11020	3966	1527	14914	10949	3965	1528	0.265857583478611	0.240174408042149
Arabidopsis thaliana	X0469.IntAct.	2	FALSE	14986	11253	3733	1491	14914	11182	3732	1492	0.250234678825265	0.226064312965542
