species.name	database	reviewed	isoforms	whole.proteome..Uniprot.	uncovered.whole.proteome	whole.proteome..interactome.available	interactome..but.not.in.Uniprot	reference.proteome..Uniprot.	uncovered.reference.proteome	reference.proteome..interactome.available	interactome..but.not.in.Uniprot.1	Overlap.between.interactome.and.the.reference.proteome..fraction	Overlap.between.interactome.and.the.whole.proteome..fraction
Homo sapiens	IMEx	1	TRUE	178616	158943	19673	131	92996	74821	18175	1629	0.195438513484451	0.110060588429456
Homo sapiens	X0469.IntAct.	1	TRUE	178616	160117	18499	106	92996	75795	17201	1404	0.184964944728806	0.103492646030423
Mus musculus	IMEx	1	TRUE	89031	80454	8577	22	58441	50641	7800	799	0.133467942027002	0.0963134313274118
Mus musculus	X0469.IntAct.	1	TRUE	89031	83973	5058	11	58441	53736	4705	364	0.0805085470816721	0.0567976373620204
strain ATCC 204508	IMEx	1	TRUE	6762	792	5970	52	6754	784	5970	52	0.883920639620965	0.876137364250073
strain ATCC 204508	X0469.IntAct.	1	TRUE	6762	1282	5480	45	6754	1274	5480	45	0.811371039384069	0.80422659230995
strain K12	IMEx	1	TRUE	4493	1312	3181	10	4315	1138	3177	14	0.736268829663963	0.70641794359316
strain K12	X0469.IntAct.	1	TRUE	4493	1344	3149	9	4315	1169	3146	12	0.729084588644264	0.699311570064401
Drosophila melanogaster	IMEx	1	TRUE	43870	33491	10379	8	23314	13701	9613	774	0.412327356952904	0.236542230730662
Drosophila melanogaster	X0469.IntAct.	1	TRUE	43870	33553	10317	8	23314	13735	9579	746	0.410869005747619	0.235129221933543
Caenorhabditis elegans	IMEx	1	TRUE	28774	23722	5052	2	27996	22968	5028	26	0.1795970852979	0.175562969140951
Caenorhabditis elegans	X0469.IntAct.	1	TRUE	28774	23968	4806	2	27996	23212	4784	24	0.170881554507787	0.167014178482068
Arabidopsis thaliana	IMEx	1	TRUE	79161	73680	5481	26	33469	28247	5222	285	0.156024978338164	0.0692159066513443
Arabidopsis thaliana	X0469.IntAct.	1	TRUE	79161	73952	5209	25	33469	28512	4957	277	0.148107203681018	0.0657809994064682
Homo sapiens	IMEx	1	FALSE	156576	139346	17230	114	70956	55224	15732	1612	0.221714865550482	0.109962346033569
Homo sapiens	X0469.IntAct.	1	FALSE	156576	140327	16249	92	70956	56005	14951	1390	0.210708044421895	0.103701576360968
Mus musculus	IMEx	1	FALSE	80894	72459	8435	17	50306	42648	7658	794	0.152228362421977	0.104250349149065
Mus musculus	X0469.IntAct.	1	FALSE	80894	75914	4980	8	50306	45679	4627	361	0.0919771001470997	0.0615491095153935
strain ATCC 204508	IMEx	1	FALSE	6732	762	5970	52	6724	754	5970	52	0.887864366448543	0.88001179245283
strain ATCC 204508	X0469.IntAct.	1	FALSE	6732	1252	5480	45	6724	1244	5480	45	0.814991076740036	0.807783018867924
strain K12	IMEx	1	FALSE	4482	1304	3178	10	4306	1132	3174	14	0.737111007895959	0.707479964381122
