NAME	detection of chemical stimulus involved in sensory perception of bitter taste	humoral immune response mediated by circulating immunoglobulin	ion transport	cation transport	sodium ion transport	chloride transport	complement activation, classical pathway	humoral immune response	homophilic cell adhesion via plasma membrane adhesion molecules	neuropeptide signaling pathway	single fertilization	glycoprotein metabolic process	glycoprotein biosynthetic process	DNA integration	monovalent inorganic cation transport	inorganic anion transport	ion transmembrane transport	sperm-egg recognition	sensory perception of taste	detection of chemical stimulus involved in sensory perception of taste	transmembrane transport	glycosylation	potassium ion transmembrane transport	cation transmembrane transport	inorganic ion transmembrane transport	inorganic anion transmembrane transport	cell-cell adhesion via plasma-membrane adhesion molecules	chloride transmembrane transport
detection of chemical stimulus involved in sensory perception of bitter taste	1.0	-0.043450523302928874	-0.061725422978035085	-0.0648127555860152	-0.050253378378378274	-0.04046704446050459	-0.04224289665577271	-0.05153331509438679	-0.04744845629004237	-0.043831887017187876	-0.04420334884033346	-0.05784772437260728	-0.056452686638136046	-0.021887495866028693	-0.06036130552880909	-0.04744845629004237	-0.06491838205345107	-0.03142153155570796	0.8560013896126463	0.9308417452239927	-0.06710039951308365	-0.05447063224841109	-0.048281411656511605	-0.06255806022977195	-0.06306939194237204	-0.04420334884033346	-0.05211946865216964	-0.03949843260188256
humoral immune response mediated by circulating immunoglobulin	-0.043450523302928874	1.0	-0.1019709092768218	-0.0943167220376524	-0.06989732402891845	-0.052303974796212946	0.9636100258987759	0.7386592166624996	-0.06458679558845806	-0.05806533050954432	-0.035703378772316136	-0.08551171294891599	-0.08249811914665456	-0.024940313778991096	-0.09112078566366306	-0.06458679558845806	-0.09467176200012244	-0.0075871975249551474	-0.05150971414428946	-0.04724952012206024	-0.10215632399306152	-0.07833272758574565	-0.06613999632555555	-0.0868919337140935	-0.08855040384172212	-0.05871900941169988	-0.07356063179347899	-0.05069708491761834
ion transport	-0.061725422978035085	-0.1019709092768218	1.0	0.703912440750404	0.1969631043539847	0.11094499809521373	-0.1001973118262377	-0.16979379056884386	-0.13016168282645532	-0.0831408628428132	-0.06961592754169343	-0.2730104608673305	-0.24865493766017333	-0.03125402841158093	0.4252845333839034	0.16558156127766382	0.7142364701826956	-0.028502921645892947	-0.061840352495132776	-0.07122771127991182	0.6883714920060615	-0.21430691037661415	0.17415825103358754	0.5331905583915665	0.5651337646441685	0.13689407827081168	-0.15573749714836138	0.1051616726189524
cation transport	-0.0648127555860152	-0.0943167220376524	0.703912440750404	1.0	0.33491357304354163	-0.03478035227745538	-0.09528766465147952	-0.15353977217118236	-0.11940168483042818	-0.08177149454370153	-0.04729049242892698	-0.23673783666725476	-0.22046499108923426	-0.030759666329531497	0.6642365330093157	0.0033714031832317625	0.6672902154984762	-0.015727008393833834	-0.0548302404143405	-0.07364521238430924	0.5700751979448709	-0.19303397331381236	0.29878326501398916	0.8018970239517655	0.6423524378881426	-0.0033482340053355947	-0.15237457513625283	-0.03774245218257449
sodium ion transport	-0.050253378378378274	-0.06989732402891845	0.1969631043539847	0.33491357304354163	1.0	-0.002345658114284415	-0.06682421207796144	-0.09348468240845549	-0.08085696702929852	-0.07088951841359731	-0.015942794823651893	-0.10462478122141505	-0.11103751059077195	-0.027041495235618333	0.5759908184778133	0.14396128211279502	0.18807847061167926	0.0025998810692705126	-0.02092351212612604	-0.05540561185517095	0.1622123645842846	-0.10362121656130927	0.05210715452466636	0.25053977302942937	0.2231739985129203	0.13318642276514112	-0.08032223670181231	9.591736350228449E-4
chloride transport	-0.04046704446050459	-0.052303974796212946	0.11094499809521373	-0.03478035227745538	-0.002345658114284415	1.0	-0.050563933595236706	-0.0644776666972384	-0.05820781210109722	0.022346537647413643	-0.05339871137488227	-0.07467653105879947	-0.07236794825727617	-0.023927732435641506	-0.033007504222856754	0.788358437579781	0.17659549108502667	-0.03580426455828504	-0.047369573640146906	-0.04374258066837193	0.09840733330585362	-0.06914271432142095	-0.037844604992046	-0.025731503333868082	0.24147095987102948	0.8388919617897244	-0.04686923773230709	0.9717113120627879
complement activation, classical pathway	-0.04224289665577271	0.9636100258987759	-0.1001973118262377	-0.09528766465147952	-0.06682421207796144	-0.050563933595236706	1.0	0.7050740427802735	-0.06195411668801717	-0.0559286706808719	-0.05653487606146152	-0.08095697034979422	-0.07825078215629071	-0.02453767161764484	-0.08596692320288246	-0.06195411668801717	-0.09551614985094836	-0.03718745789463626	-0.04982126540884622	-0.045824951413279365	-0.10031582315170609	-0.07449348523091723	-0.06338187580170544	-0.0904926063685019	-0.09156647311503027	-0.05653487606146152	-0.0701647809249004	-0.04906064440767073
humoral immune response	-0.05153331509438679	0.7386592166624996	-0.16979379056884386	-0.15353977217118236	-0.09348468240845549	-0.0644776666972384	0.7050740427802735	1.0	-0.08422271697133638	-0.07346339779005497	-0.03899178387411287	-0.12369280471959856	-0.11748494742833211	-0.027407797831876867	-0.1357831384254049	-0.08422271697133638	-0.15427069092438767	-0.0011427235777634436	-0.06327490380504489	-0.05696552719574738	-0.16498838353511522	-0.10921446353706321	-0.08688335322779549	-0.1387362637362638	-0.14196512960765828	-0.0745128705022877	-0.10015555926632212	-0.062053061890010384
homophilic cell adhesion via plasma membrane adhesion molecules	-0.04744845629004237	-0.06458679558845806	-0.13016168282645532	-0.11940168483042818	-0.08085696702929852	-0.05820781210109722	-0.06195411668801717	-0.08422271697133638	1.0	-0.065433038443781	-0.06626431521927331	-0.10251023893364036	-0.09820956901245956	-0.026207823442030743	-0.0999462793602716	-0.07383419689119101	-0.11989433741470856	-0.041162987848912876	-0.05722580995278753	-0.05201545634722501	-0.13042599934345117	-0.09236275574707514	-0.057480061672933236	-0.10923906216719526	-0.11148615161490591	-0.06626431521927331	0.8379403370215427	-0.05622456947926518
neuropeptide signaling pathway	-0.043831887017187876	-0.05806533050954432	-0.0831408628428132	-0.08177149454370153	-0.07088951841359731	0.022346537647413643	-0.0559286706808719	-0.07346339779005497	-0.065433038443781	1.0	-0.059417641158120774	-0.08700143836868442	-0.08388384255436306	-0.025065493031541927	-0.09281429071050036	-0.003368977951911188	-0.08232576620949565	-0.038413361169103044	-0.05204654220754501	-0.04770083282024919	-0.09402404559738974	-0.07958099257611705	-0.06702770964373352	-0.08880581935744655	-0.07277763518138328	-0.013851291000782223	-0.057186218816858404	6.185630779488562E-5
